Year,City Code,City ,GDP,Proportion of primary industry,Proportion of secondary industry,Proportion of the third industry,Per Capita GDP,Urbanization Rate,Unemployment,Average Wage,City Area,Cultivated Area,Grain Yield,GDP of industries above designated size,GDP of foreign-invested enterprises,Total Retail Consumer Goods,Expenditure on education,Public libraries per 100 inhabitants,Number of hospital beds,Total passenger traffic,Total freight volume,Total telecommunication services,Number of international Internet users,Number of participants in medical insurance
2021,110000,北京,402700000,0.28,18.05,81.67,183980,NaN,,201504,,,,,,148677416,11478293,,122287,,,158446,1066950000,14860477
2020,110000,北京,361030000,0.3,15.83,83.87,164889,#DIV/0!,,185026,,,,,,137163960,11382891,,119310,,,,,17415956
2019,110000,北京,353710000,0.32,16.16,83.52,164220,NaN,93500,173205,16410,,,,,150636524,11360185,,119574,,,6196743,6890000,16825174
2018,110000,北京,303199787,0.39,18.63,80.98,140211,NaN,102400,149843,16406,,,,,117476796,10255068,,116279,,,6193326,6350000,16288778
2017,110000,北京,280149400,0.43,19.01,80.56,128994,NaN,81000,134994,16406,,,,,115754000,9645817,,113700,,,8755281,5420000,15691611
2016,110000,北京,256691300,0.51,19.26,80.23,118198,NaN,91421,122749,16411,,,180872720,55998148,110051000,8873761,,110021,,,13964015,4760000,15176243
2015,110000,北京,230145900,0.61,19.74,79.65,106497,NaN,91593,113073,16411,,,174496269,51922388,103380064,8556654,442,104644,,,9233637,4920000,14756583
2014,110000,北京,213308300,0.75,21.31,77.95,99995,NaN,74272,103400.41,16411,,,184528984,54401935,96379959,7420541,420,102851,71715,26697,6873707,5530000,16042532
2013,110000,北京,195005600,0.83,22.32,76.85,93213,NaN,68144,93996.77,16411,,96.1,173708872,55875843,83751191,6811775,404,115278,71057,25865,5940104,5350000,13547669
2012,110000,北京,178794000,0.84,22.7,76.46,87475,NaN,71982,85306.02,16411,,113.8,155962123,47368450,77028167,6286510,428,92610,149037,26291,4880146,5720000,14315958
2011,110000,北京,162519300,0.84,23.09,76.07,81658,NaN,81336,75834.61,16411,,121.8,145136281,46278310,69003246,5200778,395,87596,145773,24788,4362841,5233645,11880098
2010,110000,北京,141135800,0.88,24.01,75.11,75943,NaN,77255,65682.17,16411,,115.7,136998388,43645368,62292986,4502155,367,85935,140663,21886,10668311,5455639,
